Player_Name,Age_First_GS,Matches_Before_First_GS,Total_GS_Titles,Year_Turned_Pro,Year_First_GS,Total_ATP_Matches,Career_Span_Years,Win_Percentage,GS_Win_Ratio,Peak_Ranking,Peak_Ranking_Before_GS,Win_Percentage_Before_GS,Years_On_Tour_Before_GS
Goran Ivanisevic,29.7,876,1,1988,2001,937,17,64.46104589114200,68.75,2.0,2.0,65.52511415525120,13
Andres Gomez,30.2,697,1,1978,1990,805,18,66.08695652173910,66.66666666666670,4.0,5.0,68.57962697274030,12
Thomas Muster,27.6,614,1,1984,1995,905,28,69.28176795580110,67.24137931034480,1.0,6.0,69.38110749185670,11
Petr Korda,29.9,596,1,1985,1998,664,15,62.19879518072290,61.61616161616160,2.0,5.0,63.42281879194630,13
Ivan Lendl,24.2,564,8,1978,1984,1317,17,81.62490508731970,81.91881918819190,1.0,1.0,82.09219858156030,6
Manuel Orantes,26.5,549,1,1968,1975,1052,17,70.81749049429660,69.6969696969697,2.0,2.0,73.40619307832420,7
Albert Costa,26.9,512,1,1993,2002,662,14,58.610271903323300,58.620689655172400,6.0,9.0,61.1328125,9
Stan Wawrinka,28.7,502,3,2003,2014,930,22,61.61290322580650,70.53571428571430,3.0,8.0,60.3585657370518,11
Andy Murray,25.2,488,3,2005,2012,1013,20,73.74136229022710,78.125,1.0,2.0,75.20491803278690,7
Marin Cilic,25.9,457,1,2005,2014,922,20,63.55748373101950,70.40816326530610,3.0,9.0,64.11378555798690,9
Roscoe Tanner,25.2,442,1,1969,1977,906,17,66.66666666666670,73.17073170731710,4.0,9.0,66.9683257918552,8
Dominic Thiem,26.9,440,1,2011,2020,561,14,62.21033868092690,68.18181818181820,3.0,3.0,64.77272727272730,9
Thomas Johansson,26.8,366,1,1993,2002,658,17,54.86322188449850,56.730769230769200,7.0,14.0,55.19125683060110,9
Adriano Panatta,25.8,336,1,1968,1976,669,16,62.18236173393120,67.3913043478261,6.0,8.0,64.58333333333330,8
Richard Krajicek,24.5,334,1,1991,1996,635,13,65.19685039370080,69.76744186046510,4.0,8.0,63.47305389221560,5
Stan Smith,24.7,331,2,1968,1971,1133,18,72.28596646072370,70.83333333333330,3.0,,78.54984894259820,3
Andre Agassi,22.1,331,8,1986,1992,1147,21,76.02441150828250,80.86642599277980,1.0,3.0,72.50755287009060,6
Yannick Noah,23.0,318,1,1977,1983,696,20,69.25287356321840,70.24793388429750,4.0,7.0,71.38364779874210,6
Brian Teacher,26.0,309,1,1971,1980,576,16,58.68055555555560,57.692307692307700,9.0,20.0,56.957928802589000,9
Roger Federer,21.8,304,20,1998,2003,1545,24,81.87702265372170,85.9447004608295,1.0,4.0,66.44736842105260,5
Daniil Medvedev,25.5,295,1,2016,2021,501,9,71.6566866267465,74.50980392156860,1.0,2.0,67.79661016949150,5
